"Rider","Pos","Country","Team","Stage","Start_Location","End_Location","Stage_Type","Stage_Distance","Time_total","Velocity_kmh","Velocity_mph","Classification"
"Neilson POWLESS",85,"United States","EF PRO CYCLING","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Young"
"Hugh John CARTHY",86,"England","EF PRO CYCLING","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Alberto Bettiol",87,"Italy","EF PRO CYCLING","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Krists NEILANDS",88,"Latvia","ISRAEL START-UP NATION","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Maximilian WALSCHEID",89,"Germany","NTT PRO CYCLING TEAM","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Michael HUNDAHL",90,"Denmark","NTT PRO CYCLING TEAM","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Edvald Hagen",91,"Norway","NTT PRO CYCLING TEAM","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Gorka Izaguirre Insausti",92,"Spain","ASTANA PRO TEAM","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Rigoberto Uran",93,"Colombia","EF PRO CYCLING","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Pierre Rolland",94,"France","B&B HOTELS - VITAL CONCEPT P / B KTM","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Nicolas Edet",95,"France","COFIDIS","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Bauke Mollema",96,"Netherlands","TREK - SEGAFREDO","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Michael Gogl",97,"Austria","NTT PRO CYCLING TEAM","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Mikel Nieve Iturralde",98,"Spain","MITCHELTON - SCOTT","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
"Maximilian Schachmann",99,"Germany","BORA - HANSGROHE","Stage 1","Nice Moyen Pays","Nice","FLAT",156,3.77305555555556,41.34579989693,25.6965816637228,"Senior"
